,application_id,amount,duration_in_days,check_field_1,check_field_2,check_field_3,earned,spendings,prev_amount,start_date,finish_date
0,46648,2500,2.0,False,False,False,3500,11300,1000,2017-03-06,2018-06-12
1,36399,2500,31.0,False,True,False,7500,6100,2800,2017-10-11,2018-03-29
2,55560,1300,22.0,True,False,False,13000,9100,2700,2017-12-25,2018-02-17
3,40101,3300,32.0,False,True,False,13000,5100,2000,2017-02-09,2018-04-28
4,16806,1200,23.0,False,True,False,16500,16700,2800,2017-01-09,2018-07-23
5,17917,1900,40.0,False,False,False,14000,11300,500,2017-08-23,2018-12-26
6,53402,2800,44.0,True,False,False,4500,15900,900,2017-01-06,2018-01-25
7,34189,2400,45.0,True,False,False,10000,4300,800,2017-08-27,2018-11-21
8,95722,3100,34.0,True,True,True,4000,16700,2400,2017-02-18,2018-05-15
9,78851,3300,11.0,True,False,False,12000,11500,500,2017-08-26,2018-08-14
10,26594,1300,9.0,True,False,True,9000,1100,700,2017-07-21,2018-10-01
11,24398,3000,11.0,True,False,False,13000,13100,1200,2017-06-30,2018-08-30
12,42079,1100,11.0,True,True,True,16500,15300,2800,2017-08-27,2018-12-16
13,50855,2800,24.0,True,True,True,11000,1700,3300,2017-07-29,2018-09-28
14,74508,1100,44.0,True,True,False,15000,7900,800,2017-01-15,2018-03-05
15,28249,2300,32.0,False,True,True,16000,17900,2800,2017-05-29,2018-02-26
16,96082,1500,32.0,False,False,False,15000,12300,700,2017-06-11,2018-12-23
17,51524,2200,23.0,True,True,False,18500,15900,1900,2017-01-07,2018-09-15
18,45749,3100,45.0,False,True,True,9500,2100,1700,2017-11-03,2018-04-14
19,90312,3400,22.0,True,False,True,14500,10500,3000,2017-10-11,2018-12-13
20,94110,2200,43.0,True,False,True,3500,13700,1800,2017-08-10,2018-03-01
21,52778,2900,1.0,False,True,False,19000,7500,600,2017-04-02,2018-06-21
22,83877,1500,13.0,True,False,False,13500,9300,3200,2017-04-03,2018-05-18
23,50800,3000,45.0,True,True,True,5500,14500,2200,2017-01-11,2018-05-08
24,21210,800,5.0,False,True,True,3000,13100,1600,2017-01-20,2018-03-24
25,38074,3300,27.0,True,True,False,8000,11300,2700,2017-11-29,2018-05-11
26,26305,2400,37.0,False,True,False,14000,11300,500,2017-05-05,2018-09-02
27,83348,2900,32.0,True,True,True,14500,14700,1600,2017-12-28,2018-02-02
28,79330,700,3.0,True,True,False,16500,11500,1200,2017-07-19,2018-10-31
29,98314,3100,11.0,False,False,False,9500,15300,2300,2017-04-28,2018-07-26
30,48762,2400,24.0,False,True,False,4500,7700,3300,2017-10-06,2018-07-09
31,16187,3100,29.0,False,True,False,14500,17900,3200,2017-08-21,2018-04-08
32,64088,3300,30.0,True,True,False,5500,5500,900,2017-06-21,2018-12-21
